Slurm Job ID	Sample ID	Rule Name	Snakemake Job ID	Cluster	User/Group	State	Nodes	Cores per node	CPU Utilized	CPU Efficiency	Job Wall-clock time	Memory Utilized	Memory Efficiency	Input	Output	Step Number	Percent Complete
10404225	sample=631750	merge_reads	23	arc-admin	kevin.muirhead/kevin.muirhead	COMPLETED (exit code 0)	1	7	00:00:05	0.71% of 00:11:40 core-walltime	00:01:40	66.83 MB	0.11% of 60.00 GB	/bulk/sycuro_bulk/lsycuro_labshare/kevin/417_419_Project_2020_2021/metemirge_metaphlan2_aim1/KG_18/metqc/output/bmtagger/631750_bmtagged_1.fastq, /bulk/sycuro_bulk/lsycuro_labshare/kevin/417_419_Project_2020_2021/metemirge_metaphlan2_aim1/KG_18/metqc/output/bmtagger/631750_bmtagged_2.fastq	/work/sycuro_lab/kevin/metaphlan_2021-07-19/merged_data/631750.fastq	1 of 38	2.63
10404226	sample=632268	merge_reads	25	arc-admin	kevin.muirhead/kevin.muirhead	COMPLETED (exit code 0)	1	7	00:00:02	1.50% of 00:02:13 core-walltime	00:00:19	0.00 MB (estimated maximum)	0.00% of 60.00 GB (60.00 GB/node)	/bulk/sycuro_bulk/lsycuro_labshare/kevin/417_419_Project_2020_2021/metemirge_metaphlan2_aim1/KG_18/metqc/output/bmtagger/632268_bmtagged_1.fastq, /bulk/sycuro_bulk/lsycuro_labshare/kevin/417_419_Project_2020_2021/metemirge_metaphlan2_aim1/KG_18/metqc/output/bmtagger/632268_bmtagged_2.fastq	/work/sycuro_lab/kevin/metaphlan_2021-07-19/merged_data/632268.fastq	2 of 38	5.26
10404227	sample=630822	merge_reads	15	arc-admin	kevin.muirhead/kevin.muirhead	COMPLETED (exit code 0)	1	7	00:00:03	0.97% of 00:05:08 core-walltime	00:00:44	67.02 MB	0.11% of 60.00 GB	/bulk/sycuro_bulk/lsycuro_labshare/kevin/417_419_Project_2020_2021/metemirge_metaphlan2_aim1/KG_18/metqc/output/bmtagger/630822_bmtagged_1.fastq, /bulk/sycuro_bulk/lsycuro_labshare/kevin/417_419_Project_2020_2021/metemirge_metaphlan2_aim1/KG_18/metqc/output/bmtagger/630822_bmtagged_2.fastq	/work/sycuro_lab/kevin/metaphlan_2021-07-19/merged_data/630822.fastq	3 of 38	7.89
10404228	sample=631268	merge_reads	17	arc-admin	kevin.muirhead/kevin.muirhead	COMPLETED (exit code 0)	1	7	00:00:04	0.63% of 00:10:30 core-walltime	00:01:30	67.07 MB	0.11% of 60.00 GB	/bulk/sycuro_bulk/lsycuro_labshare/kevin/417_419_Project_2020_2021/metemirge_metaphlan2_aim1/KG_18/metqc/output/bmtagger/631268_bmtagged_1.fastq, /bulk/sycuro_bulk/lsycuro_labshare/kevin/417_419_Project_2020_2021/metemirge_metaphlan2_aim1/KG_18/metqc/output/bmtagger/631268_bmtagged_2.fastq	/work/sycuro_lab/kevin/metaphlan_2021-07-19/merged_data/631268.fastq	4 of 38	10.53
10404229	sample=631284	merge_reads	19	arc-admin	kevin.muirhead/kevin.muirhead	COMPLETED (exit code 0)	1	7	00:00:02	0.70% of 00:04:47 core-walltime	00:00:41	67.16 MB	0.11% of 60.00 GB	/bulk/sycuro_bulk/lsycuro_labshare/kevin/417_419_Project_2020_2021/metemirge_metaphlan2_aim1/KG_18/metqc/output/bmtagger/631284_bmtagged_1.fastq, /bulk/sycuro_bulk/lsycuro_labshare/kevin/417_419_Project_2020_2021/metemirge_metaphlan2_aim1/KG_18/metqc/output/bmtagger/631284_bmtagged_2.fastq	/work/sycuro_lab/kevin/metaphlan_2021-07-19/merged_data/631284.fastq	5 of 38	13.16
10404230	sample=632646	merge_reads	27	arc-admin	kevin.muirhead/kevin.muirhead	COMPLETED (exit code 0)	1	7	00:00:04	0.62% of 00:10:44 core-walltime	00:01:32	67.30 MB	0.11% of 60.00 GB	/bulk/sycuro_bulk/lsycuro_labshare/kevin/417_419_Project_2020_2021/metemirge_metaphlan2_aim1/KG_18/metqc/output/bmtagger/632646_bmtagged_1.fastq, /bulk/sycuro_bulk/lsycuro_labshare/kevin/417_419_Project_2020_2021/metemirge_metaphlan2_aim1/KG_18/metqc/output/bmtagger/632646_bmtagged_2.fastq	/work/sycuro_lab/kevin/metaphlan_2021-07-19/merged_data/632646.fastq	6 of 38	15.79
10404231	sample=631297	merge_reads	21	arc-admin	kevin.muirhead/kevin.muirhead	COMPLETED (exit code 0)	1	7	00:00:04	0.49% of 00:13:39 core-walltime	00:01:57	67.17 MB	0.11% of 60.00 GB	/bulk/sycuro_bulk/lsycuro_labshare/kevin/417_419_Project_2020_2021/metemirge_metaphlan2_aim1/KG_18/metqc/output/bmtagger/631297_bmtagged_1.fastq, /bulk/sycuro_bulk/lsycuro_labshare/kevin/417_419_Project_2020_2021/metemirge_metaphlan2_aim1/KG_18/metqc/output/bmtagger/631297_bmtagged_2.fastq	/work/sycuro_lab/kevin/metaphlan_2021-07-19/merged_data/631297.fastq	7 of 38	18.42
10404232	sample=633008	merge_reads	29	arc-admin	kevin.muirhead/kevin.muirhead	COMPLETED (exit code 0)	1	7	00:00:04	0.46% of 00:14:21 core-walltime	00:02:03	67.01 MB	0.11% of 60.00 GB	/bulk/sycuro_bulk/lsycuro_labshare/kevin/417_419_Project_2020_2021/metemirge_metaphlan2_aim1/KG_18/metqc/output/bmtagger/633008_bmtagged_1.fastq, /bulk/sycuro_bulk/lsycuro_labshare/kevin/417_419_Project_2020_2021/metemirge_metaphlan2_aim1/KG_18/metqc/output/bmtagger/633008_bmtagged_2.fastq	/work/sycuro_lab/kevin/metaphlan_2021-07-19/merged_data/633008.fastq	8 of 38	21.05
10404233	sample=633112	merge_reads	31	arc-admin	kevin.muirhead/kevin.muirhead	COMPLETED (exit code 0)	1	7	00:00:04	0.52% of 00:12:50 core-walltime	00:01:50	67.14 MB	0.11% of 60.00 GB	/bulk/sycuro_bulk/lsycuro_labshare/kevin/417_419_Project_2020_2021/metemirge_metaphlan2_aim1/KG_18/metqc/output/bmtagger/633112_bmtagged_1.fastq, /bulk/sycuro_bulk/lsycuro_labshare/kevin/417_419_Project_2020_2021/metemirge_metaphlan2_aim1/KG_18/metqc/output/bmtagger/633112_bmtagged_2.fastq	/work/sycuro_lab/kevin/metaphlan_2021-07-19/merged_data/633112.fastq	9 of 38	23.68
10404234	sample=630284	merge_reads	9	arc-admin	kevin.muirhead/kevin.muirhead	COMPLETED (exit code 0)	1	7	00:00:02	0.62% of 00:05:22 core-walltime	00:00:46	66.95 MB	0.11% of 60.00 GB	/bulk/sycuro_bulk/lsycuro_labshare/kevin/417_419_Project_2020_2021/metemirge_metaphlan2_aim1/KG_18/metqc/output/bmtagger/630284_bmtagged_1.fastq, /bulk/sycuro_bulk/lsycuro_labshare/kevin/417_419_Project_2020_2021/metemirge_metaphlan2_aim1/KG_18/metqc/output/bmtagger/630284_bmtagged_2.fastq	/work/sycuro_lab/kevin/metaphlan_2021-07-19/merged_data/630284.fastq	10 of 38	26.32
